id,name,name_uk,name_en,name_ru,category
1,Заднє колесо,Заднє колесо,Back wheel,Заднє колесо,
2,Переднє колесо,Переднє колесо,Front wheel,Переднє колесо,
3,Сидіння,Сидіння,Seat,Сидіння,
4,Маятник,Маятник,Маятник,Маятник,
5,Бокові панелі,Бокові панелі,Side pannels,Бокові панелі,
6,Опції,Опції,Options,Опції,
7,Колір рами,Колір рами,Колір рами,Колір рами,
8,Колір маятника,Колір маятника,Колір маятника,Колір маятника,
9,Колір підсиділа,Колір підсиділа,Колір підсиділа,Колір підсиділа,
10,Колір захисту контроллера,Колір захисту контроллера,Колір захисту контроллера,Колір захисту контроллера,
11,Колір бокових панелей,Колір бокових панелей,Колір бокових панелей,Колір бокових панелей,
12,Матеріал,Матеріал,Material,Матеріал,
13,Вага,Вага,Weight,Вага,
14,Ширина,Ширина,Width,Ширина,
15,Стакан,Стакан,Стакан,Стакан,
16,Ширина між дропаутами,Ширина між дропаутами,Dropouts width,Ширина між дропаутами,
17,Колеса,Колеса,Колеса,Колеса,
18,Максимальна вага наїздника,Максимальна вага наїздника,Максимальна вага наїздника,Максимальна вага наїздника,
19,Максимальний розмір батареї,Максимальний розмір батареї,Максимальний розмір батареї,Максимальний розмір батареї,
20,Колір дна рами,Колір дна рами,Колір дна рами,Колір дна рами,
21,Колір карт,Колір карт,Колір карт,Колір карт,
22,Ширина короба рами,Ширина короба рами,Ширина короба рами,Ширина короба рами,
23,Міжосьове кріплення амортизатора,Міжосьове кріплення амортизатора,Міжосьове кріплення амортизатора,Міжосьове кріплення амортизатора,
24,Максимальний розмір батареї,Максимальний розмір батареї,Максимальний розмір батареї,Максимальний розмір батареї,
25,Максимальна швидкість,Максимальна швидкість,Максимальна швидкість,Максимальна швидкість,
26,Середній пробіг на одному заряді,Середній пробіг на одному заряді,Середній пробіг на одному заряді,Середній пробіг на одному заряді,
27,Час повного заряду батареї,Час повного заряду батареї,Час повного заряду батареї,Час повного заряду батареї,
28,Колір ободів,Колір ободів,Колір ободів,Колір ободів,
29,Колір трикутників,Колір трикутників,Колір трикутників,Колір трикутників,
