Мета_Заголовок,Мета_Описание,Мета_Ключевые_Слова,Заголовок,Описание,Артикул,Категория,Ссылка,Старая_Цена,Новая_Цена,Изображения,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики,Название_Характеристики,Значение_Характеристики
мототрактор лідер 180 люкс,"Мототрактор оснащений новим дизельними двигун SH 1105 . Потужнімть 18 кінських сил . Завдяки двигунам SH  та новітній системі охолодження моторесурс Лідерів збільшений  від 4000 мотогодин без РЕМОНТУ. Від себе ми , даруємо кожному власнику Lider  комплект запасних запчастин - ЗІП . 
Основною перевагою над іншою технікою є :
-Груба рама , та збільшені осі, які роблять трактор важким , і тим самим роблять Лідер НАДІЙНИШИМ. 
-Додатковий автомобільний генератор для зардки акумулятора . 
-Вихлопна труба виведена вже догори , додає виду трактору +збільшьли кліренс . ",,мототрактор лідер 180 люкс,"Мототрактор оснащений новим дизельними двигун SH 1105 . Потужнімть 18 кінських сил . Завдяки двигунам SH  та новітній системі охолодження моторесурс Лідерів збільшений  від 4000 мотогодин без РЕМОНТУ. Від себе ми , даруємо кожному власнику Lider  комплект запасних запчастин - ЗІП . 
Основною перевагою над іншою технікою є :
-Груба рама , та збільшені осі, які роблять трактор важким , і тим самим роблять Лідер НАДІЙНИШИМ. 
-Додатковий автомобільний генератор для зардки акумулятора . 
-Вихлопна труба виведена вже догори , додає виду трактору +збільшьли кліренс . 
Комплект :
-Трактор 18 к.с 
-Усилена фреза 140 см 
- Якісний 2 корпусний плуг Українського виробника  , вага плуга 40 кг 
-Мастила , техніка повінстю заправлена всіма мастилами.
-ЗІП - Запасні запчастини 
-Гарантія 1 рік часу
-Безкоштовна доставка до ваошого дому  . розрахунок з рук в руки . 
Ми пропонуємо Вам :
Доставку власним авто до вашого дому . Доставка АБСОЛЮТНО БЕЗКОШТОВНА .
Не потрібно робити перерахунків за доставку . ніяких авансів та передоплат . 
РОЗРАХУНОК  З РУК В РУКИ з нашим представником .",mototractor_lider_180_luks,silgosp_mototractors,mototractor_lider_180_luks,10,1,"lider_180_1.JPG, lider_180_2.JPG, lider_180_3.JPG, lider_180_4.JPG, lider_180_5.JPG, lider_180_6.JPG, lider_180_7.JPG, lider_180_8.JPG, lider_180_9.JPG, lider_180_10.JPG, lider_180_11.JPG, lider_180_12.JPG, lider_180_13.JPG, lider_180_14.JPG, lider_180_15.JPG, lider_180_16.JPG, lider_180_17.JPG, lider_180_18.JPG, lider_180_19.JPG, lider_180_20.JPG, lider_180_21.JPG, lider_180_22.JPG, lider_180_23.JPG, lider_180_24.JPG, lider_180_25.JPG, lider_180_26.JPG, lider_180_27.JPG, lider_180_28.JPG, lider_180_29.JPG, lider_180_30.JPG",Тип ,Горизонтального розташування дизельний чотиритактний двигун ZS1105 з водяним охолодженням і системою електричного запуску,Діаметр циліндра,100 мм,Хід поршня,120 мм,Об'єм двигуна,1 150 куб. см,максимальна потужність,18 к.с,номінальна потужність,"15 к.с. / 11,51 кВт",Номінальна швидкість ,2200 об. / Хв.,Система охолодження,водяне,Напрямок обертання махового колеса,Проти годинникової стрілки,мастило,Шестерні насос з системою змащення розбризкуванням,Запуск двигуна,Ручний стартер (Z - подібна рукоятка) + електричний стартер,тиск,уприскування 12753 кПа (130 КМФ / см2),Кут,випередження впорскування палива 16 ± 2 до верхньої мертвої точки,Зазор впускного клапана (холодний двигун),0.25 ± 0.05 мм,Зазор випускного клапана (холодний двигун),0.30 ± 0.05 мм,"Габаритні розміри двигуна S1100, мм",820 * 530 * 750,"Габаритні розміри, мм (без навісного обладнання)","2500 (довжина) х 1200 (ширина) х 1200 (висота, макс.)","Габаритні розміри, мм (зі встановленою грунтофрезою) ",3300 x 1200 x 1800,Дорожній просвіт ,240 мм,Конструкційний вага трактора (без навісного обладнання) ,700 кг,Маса комплекту: трактор + почвофреза,800 кг,Номінальний вантажний вага для причепа,2000 кг,колеса задні,"6,50 - 16”",колеса передні,"6,00 - 12""",Блокування коліс,Так,Гідравліка з плаваючим та примусовим режимом,Так,Регулюються колії ,Так,Тракторна КПП, 3х3х2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Косилка роторная КР- 09М,"КР- 09М МОДЕРНИЗИРОВАНА для мототракторов любой модификации! Договорная цена!      Особенности: - надежная конструкция - гарантия качества - высокие стаканы не гребут, а косят! - гарантия 1 год!",,Косилка роторная КР- 09М,"КР- 09М МОДЕРНИЗИРОВАНА для мототракторов любой модификации! Договорная цена!      Особенности: - надежная конструкция - гарантия качества - высокие стаканы не гребут, а косят! - гарантия 1 год!",kosylka_rotornaya_kp09m,additional_attachments,kosylka_rotornaya_kp09m,20,2,"kosa_1.jpeg, kosa_2.jpeg, kosa_3.jpeg, kosa_4.jpeg, kosa_5.jpeg, kosa_6.jpeg, kosa_7.jpeg, kosa_8.jpeg",Країна виробник,Україна,Ширина захвату,1000.0(мм),Кількість ножів,8 шт,Потребав мощності трактора,10.0(л.с),Вага,70.0 кг,Висота косіння,10-100м,Привід,Шків щіплення через ремінь,Амортизуючий механізм,Присутній,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Квадроцикл Forte Hunter 125,опис квадроциклу,,Квадроцикл Forte Hunter 125,опис квадроциклу,forte_hunber_12,mototech_motocycles,forte_hunber_12,30,3,"hunter_125_1.JPG, hunter_125_2.JPG, hunter_125_3.JPG, hunter_125_4.JPG, hunter_125_5.JPG, hunter_125_6.JPG, hunter_125_7.JPG, hunter_125_8.JPG, hunter_125_9.JPG, hunter_125_10.JPG, hunter_125_11.JPG, hunter_125_12.JPG, hunter_125_13.JPG, hunter_125_14.JPG, hunter_125_15.JPG, hunter_125_16.JPG, hunter_125_17.JPG, hunter_125_18.JPG, hunter_125_19.JPG",Об’єм двигуна,125см3,Тип двигуна ,карбюраторний 4х тактний 1 циліндр повітряне охолодження,Номінальна потужність ,"5,6квт/8,0 кс при 7500об/хв",Тип палива,бензин а92,Система запуску,електростартер,Трансмісія,автоматичний варіатор,Привід,ланцюговий,Рама ,сталева трубчаста,Передня підвіска,незалежна важільна з амортизатором,Задня підвіска,залежна з амортизатором,Гальма барабанні,задні дискові з вентиляцією гідравліяні,Шини передні розмір,19 7-8,Шини задні розмір,"18 9,5-8",Кількість місць,1,Колісна формула,4*2,Кліренс,120мм,Максимальная швидкість,60км/год,Розхід палива,3л/100км,Максимальна вантажопідйомність,90кг,Габаритні розміри,1500/970/970,Новий запатентований дизайн запатентований в італійського виробництва,Так,Збільшений розмір,Так ,Новий потужний двигун з ручним керуванням варіатора,Так,Цифровий спідометр,+,Плавний амортизатор,+,Передні лінзові фари та LED підсвітка,+,Новий рульовий механізм,+,Кольори біло-червоний та біло-салатовий,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Квадроцикл FOTE Braves 200,"Абсолютно новий та екслюзивний дизайн
Повноцінний двомісний
Новий кольоровий цифровий спідометр
Передні та задні LED ліхтарі з денним світлом
Великий розмір як для свого класу
Фаркоп!!!!",,Квадроцикл FOTE Braves 200,"Абсолютно новий та екслюзивний дизайн
Повноцінний двомісний
Новий кольоровий цифровий спідометр
Передні та задні LED ліхтарі з денним світлом
Великий розмір як для свого класу
Фаркоп!!!!",fote_braves,mototech_motocycles,fote_braves,40,4,"braves_200_1.JPG, braves_200_2.JPG, braves_200_3.JPG, braves_200_4.JPG, braves_200_5.JPG, braves_200_6.JPG, braves_200_7.JPG, braves_200_8.JPG, braves_200_9.JPG, braves_200_10.JPG, braves_200_11.JPG, braves_200_12.JPG, braves_200_13.JPG, braves_200_14.JPG, braves_200_15.JPG, braves_200_16.JPG, braves_200_17.JPG, braves_200_18.JPG, braves_200_19.JPG",Обєм двигуна,170см3,Тип двигуна,карбюраторний 4-х тактний 1 циліндр повітряне охолодження,Номінальна потужність ,"6,5квт/9кс при 6500об/хв",Тип палива,бензин а92,Система охолодження,повітряно-оливна,Система запалювання,конденсаторна,Електростарт,+,Трансмісія,автоматичний варіатор та реверс,Привід ланцюгов,Так,Рама,сталева трубчаста,Передня підвіска,незалежна важільна з амортизатором,Задня підвіска,залежна пружинний амортизатор,Гальма передні,подвійні барабанні механічні,Гальма Задні,дискові з ветиляцією гідравлічні,Шини передні ,"23,7-10",Шини Задні ,"23,10-10",Кількість місць,2,Колісна формула,4-2,Кліренс,130мм,Максимальна швидкість ,65 км/год,Розхід палива,"3,5л на 100 км",Обєм паливного бака,5л,Максимальна вантажопідйомність,190кг,Габаритні розміри ,1860/1100/1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мотоцикл Forte Alfa NEW 125 чорний,"Новий дизайн Спідометра і тахометра
Сучасні показники поворотів
Широка задня підніжка для пасажирів
Захист для ніг водія
Легкосплавні диски
Задній багажник з боксом для багажу",,Мотоцикл Forte Alfa NEW 125 чорний,"Новий дизайн Спідометра і тахометра
Сучасні показники поворотів
Широка задня підніжка для пасажирів
Захист для ніг водія
Легкосплавні диски
Задній багажник з боксом для багажу",forte_alfanew,mototech_motocycles,forte_alfanew,50,5,"alfa125_1.JPG, alfa125_2.JPG, alfa125_3.JPG, alfa125_4.JPG, alfa125_5.JPG, alfa125_6.JPG, alfa125_7.JPG, alfa125_8.JPG, alfa125_9.JPG, alfa125_10.JPG",Обєм двигуна,125см3,Тип двигуна,4 тактний 1 циліндровий повітряне охолодження,Номінальна потужність,5.6 кВт 8 кс при 8000 об/хв,Тип бензина,а 92,Система запуску двигуна,електростарт/кікстарт,Трансмісія,механіка/4ступка,Привід,ланцюговий,Передня підвіска,вилка телескопічна,Задня підвіска,з двома амортизаторами,Гальма передні/задні,дискові з винтиляцією/барабанні механічні,Шини передні ,"2,5-17",задні ,2.75-17,Максимальна швидкість ,90км/год,Розхід палива,"2,3л на 100км",Об’єм бака,9л,Об’єм картера двигуна і коробки передач,"0,8 л",Максимальна вантажопідйомність,175 кг,Конструктивна маса,87 кг,Габаритні розміри,1920/760/1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мотоцикл Forte FT125-FA,опис квадроциклу,,Мотоцикл Forte FT125-FA,опис квадроциклу,forte_ft125,mototech_motocycles,forte_ft125,60,6,"ft125fa_1.JPG, ft125fa_2.JPG, ft125fa_3.JPG, ft125fa_4.JPG, ft125fa_5.JPG, ft125fa_6.JPG, ft125fa_7.JPG, ft125fa_8.JPG, ft125fa_9.JPG, ft125fa_10.JPG, ft125fa_11.JPG",Обєм двигуна,125см3,Тип двигуна,карбюраторний 4-х тактний 1 циліндр повітряне охолодження,Номінальна пртужність,"5,6квт/8 кс при 8000 об/хв",Тип палива,а92,Система охолодження,Повітряне,Запуск двигуна,електростарт кікстарт,Трансмісія ,напівавтоматична 4х ступінчаста,Привід,ланцюговий,Рама,трубчастий каркас,Передня підвіска,телескопічна вилка,Задня підвіска,з двома амортизаторами,Гальма передні ,дискові з вентиляцією,Задні,барабанні механічні,Розмір шин,"передні 2,5-17",Задні,"2,75-17",Тип мотоциклу,дорожній 2 місний,Зчеплення,механічне багатодискове в масляній ванні,Максимальна швидкість,80км/год,Позхід палива ,1.7л/100км,Обєм паливного баку ,4л,Максимальна вантажопідйомність,145 кг,Габаритні розміри ,1920/700/1100,оробка передач,Напівавтоматична,підсвідка,Денна LED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Червоний моцик,опис квадроциклу,,Червоний моцик,опис квадроциклу,cherv,mototech_motocycles,cherv,70,7,"red_1.jpg, red_2.jpg, red_3.jpg, red_4.jpg, red_5.jpg, red_6.jpg, red_7.jpg, red_8.jpg, red_9.jpg, red_10.jpg, red_11.jpg, red_12.jpg",Об’єм двигуни ,110см3,Тип двигуна,карбюраторний 4х тактний 1 циліндр повітряне охолодження ,Номінальна потужність,"4,3квт/6 кс при 8000 об/хв",Тип палива,бензин а92,Система запуску двигуна ,електростарт/кікстарт,Трансмісія,механіка 4 ступка,Привід,ланцюговий,Передня підвіска,елескопічна вилка,Задня підвіска,з двома амортизаторами,Гальма,барабанні,Шини передні,"2,5-17 ",задні,"2,75-17",Тип,дорожній двомісний,Максимальна швидкість,80 км/год,Розхід палива,"1,9л на 100км",Об’єм бака, 8л,Максимальна вантажопідйомність,150 кг,Габаритні розміри,1790/710/1020,Захист для ніг водія ,+,Широка задня підніжка для пасажира,+,Задній багажник з пластиковим боксом для багажу,+,Легкосплавні диски,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мотоблок JR79E Plus 190 10к.с,Горизонтального розташування дизельний чотиритактний двигун R190N з водяним охолодженням,,Мотоблок JR79E Plus 190 10к.с,Горизонтального розташування дизельний чотиритактний двигун R190N з водяним охолодженням,jr79e_plus,silgosp_motoblocks,jr79e_plus,80,8,"jr79e_1.JPG, jr79e_2.JPG, jr79e_3.JPG, jr79e_4.JPG, jr79e_5.JPG, jr79e_6.JPG, jr79e_7.JPG, jr79e_8.JPG, jr79e_9.JPG, jr79e_10.JPG, jr79e_11.JPG, jr79e_12.JPG, jr79e_13.JPG, jr79e_14.JPG, jr79e_15.JPG, jr79e_16.JPG",Діаметр циліндра,90 мм,Хід поршня,90 мм,Об'єм двигуна,573 см 3,Максимальна потужність,11 к.с.,Номінальна потужність,"9,5 к.с.",Номінальна швидкість,2300 об / хв,Система охолодження,конденсатор,Напрямок обертання махового колеса,проти годинникової стрілки,Мастило,шестерний насос з системою змащення розбризкуванням,Запуск двигуна,ручний стартер (Z - подібна рукоятка) / електростартер,Тиск уприскування,12753 кПа (130 КМФ / см 2 ),Кут випередження впорскування палива,16 ± 2,Зазор впускного клапана (холодний двигун),0.25 ± 0.05 мм,Зазор випускного клапана (холодний двигун),0.30 ± 0.05 мм,Маса двигуна,96 кг,"Габаритні розміри двигуна 190N, мм",740 * 400 * 560,"Габаритні розміри, мм",2170 × 845 × 1150,Дорожній просвіт,210 мм,Конструкційний вага мотоблока,240 кг,Колеса,"6,00 -12 (GB1192-82). Шеврон малюнок протектора","Тиск в шинах, польові умови","80 ~ 120 (0,8 ~ 1,2 кг фунт / см 2 )",Частота обертання ВВП,1176 об / хв,Ширина грунтофрези,90 см,Ширина обробки плугом,21 см,Привід від двигуна:,3 клиновидних ременів B1800 в постійному натягу.,Номінальний вантажний вага для причепа,500 кг,Баластова маса приводного колеса:,60,Зчеплення,"дводисковое, сухого типу, з постійним зчепленням, фрикційного типу",Коробка передач,"комбінованого типу (3 + 1) × 2, з приводом від циліндричної шестерні",Кінцева передача,"одноступенева, прямозубая циліндрична шестернева передача",Механізм рульового управління,"блокується, з поворотним хомутом",Гальма,кільцевого виду з внутрішніми колодками,Об'єм мастила в коробці передач (л),5,,,,,,,,,,,,,,,,,,,,,,,,,,
Мотоблок JR79E Plus 190 10к.с,Горизонтального розташування дизельний чотиритактний двигун R190N з водяним охолодженням,,Мотоблок JR79E Plus 190 10к.с,Горизонтального розташування дизельний чотиритактний двигун R190N з водяним охолодженням,jr79e_plus,silgosp_motoblocks,jr79e_plus,80,8,"jr79e_1.JPG, jr79e_2.JPG, jr79e_3.JPG, jr79e_4.JPG, jr79e_5.JPG, jr79e_6.JPG, jr79e_7.JPG, jr79e_8.JPG, jr79e_9.JPG, jr79e_10.JPG, jr79e_11.JPG, jr79e_12.JPG, jr79e_13.JPG, jr79e_14.JPG, jr79e_15.JPG, jr79e_16.JPG",Діаметр циліндра,90 мм,Хід поршня,90 мм,Об'єм двигуна,573 см 3,Максимальна потужність,11 к.с.,Номінальна потужність,"9,5 к.с.",Номінальна швидкість,2300 об / хв,Система охолодження,конденсатор,Напрямок обертання махового колеса,проти годинникової стрілки,Мастило,шестерний насос з системою змащення розбризкуванням,Запуск двигуна,ручний стартер (Z - подібна рукоятка) / електростартер,Тиск уприскування,12753 кПа (130 КМФ / см 2 ),Кут випередження впорскування палива,16 ± 2,Зазор впускного клапана (холодний двигун),0.25 ± 0.05 мм,Зазор випускного клапана (холодний двигун),0.30 ± 0.05 мм,Маса двигуна,96 кг,"Габаритні розміри двигуна 190N, мм",740 * 400 * 560,"Габаритні розміри, мм",2170 × 845 × 1150,Дорожній просвіт,210 мм,Конструкційний вага мотоблока,240 кг,Колеса,"6,00 -12 (GB1192-82). Шеврон малюнок протектора","Тиск в шинах, польові умови","80 ~ 120 (0,8 ~ 1,2 кг фунт / см 2 )",Частота обертання ВВП,1176 об / хв,Ширина грунтофрези,90 см,Ширина обробки плугом,21 см,Привід від двигуна:,3 клиновидних ременів B1800 в постійному натягу.,Номінальний вантажний вага для причепа,500 кг,Баластова маса приводного колеса:,60,Зчеплення,"дводисковое, сухого типу, з постійним зчепленням, фрикційного типу",Коробка передач,"комбінованого типу (3 + 1) × 2, з приводом від циліндричної шестерні",Кінцева передача,"одноступенева, прямозубая циліндрична шестернева передача",Механізм рульового управління,"блокується, з поворотним хомутом",Гальма,кільцевого виду з внутрішніми колодками,Об'єм мастила в коробці передач (л),5,,,,,,,,,,,,,,,,,,,,,,,,,,
Мотоблок JR79E Plus 190 10к.с,Горизонтального розташування дизельний чотиритактний двигун R190N з водяним охолодженням,,Мотоблок JR79E Plus 190 10к.с,Горизонтального розташування дизельний чотиритактний двигун R190N з водяним охолодженням,jr79e_plus,silgosp_motoblocks,jr79e_plus,80,8,"jr79e_1.JPG, jr79e_2.JPG, jr79e_3.JPG, jr79e_4.JPG, jr79e_5.JPG, jr79e_6.JPG, jr79e_7.JPG, jr79e_8.JPG, jr79e_9.JPG, jr79e_10.JPG, jr79e_11.JPG, jr79e_12.JPG, jr79e_13.JPG, jr79e_14.JPG, jr79e_15.JPG, jr79e_16.JPG",Діаметр циліндра,90 мм,Хід поршня,90 мм,Об'єм двигуна,573 см 3,Максимальна потужність,11 к.с.,Номінальна потужність,"9,5 к.с.",Номінальна швидкість,2300 об / хв,Система охолодження,конденсатор,Напрямок обертання махового колеса,проти годинникової стрілки,Мастило,шестерний насос з системою змащення розбризкуванням,Запуск двигуна,ручний стартер (Z - подібна рукоятка) / електростартер,Тиск уприскування,12753 кПа (130 КМФ / см 2 ),Кут випередження впорскування палива,16 ± 2,Зазор впускного клапана (холодний двигун),0.25 ± 0.05 мм,Зазор випускного клапана (холодний двигун),0.30 ± 0.05 мм,Маса двигуна,96 кг,"Габаритні розміри двигуна 190N, мм",740 * 400 * 560,"Габаритні розміри, мм",2170 × 845 × 1150,Дорожній просвіт,210 мм,Конструкційний вага мотоблока,240 кг,Колеса,"6,00 -12 (GB1192-82). Шеврон малюнок протектора","Тиск в шинах, польові умови","80 ~ 120 (0,8 ~ 1,2 кг фунт / см 2 )",Частота обертання ВВП,1176 об / хв,Ширина грунтофрези,90 см,Ширина обробки плугом,21 см,Привід від двигуна:,3 клиновидних ременів B1800 в постійному натягу.,Номінальний вантажний вага для причепа,500 кг,Баластова маса приводного колеса:,60,Зчеплення,"дводисковое, сухого типу, з постійним зчепленням, фрикційного типу",Коробка передач,"комбінованого типу (3 + 1) × 2, з приводом від циліндричної шестерні",Кінцева передача,"одноступенева, прямозубая циліндрична шестернева передача",Механізм рульового управління,"блокується, з поворотним хомутом",Гальма,кільцевого виду з внутрішніми колодками,Об'єм мастила в коробці передач (л),5,,,,,,,,,,,,,,,,,,,,,,,,,,
